fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence
22821033000560,22824044000170,"1050/1, SURVEY PARK, FLAT NO.UD040103, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700075","1050/1, SURVEY PARK,FLAT NO.UD040103, BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700075",92.79,pin_040103,1050/1,1050/1,True
22820037000112,22825037000121,"17 ARMENIAN STREET WARD NO -42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001","17, ARMENIAN STREET, WARD -42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001",97.58,pin_700001,17,17,True
22820038000141,22820038000259,"83, BENTINCK STREET,KOLKATA-700001, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001","83, BENTINCK STREET, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001",92.54,pin_700001,83,83,True
22820038000155,12820019000850,"71, BENTINCK STREET, FIRST FLOOR, FARADAY HOUSE, KOLKATA-700001, WARD NO-46, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001","71, BENTINCK STREET, FIRST FLOOR, FARADAY HOUSE, KOLKATA-700001, WARD NO-46, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001",95.8,pin_700001,71,71,True
22820038000259,12820019001312,"83, BENTINCK STREET, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001","83, BENTICK STREET, 2ND FLOOR, WARD-46 BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001",90.2,pin_700001,83,83,True
22820037000022,22820037000088,"28 ARMAENIAN STREET SHOP NO -06 GROUND FLOOR WARD NO -42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001","28 ARMENIAN STREET GROUND FLOOR WARD NO -42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001",94.74,pin_700001,28,28,True
22820037000022,22822037000111,"28 ARMAENIAN STREET SHOP NO -06 GROUND FLOOR WARD NO -42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001","28, ARMENIAN STREET, SHOP NO - 06, GROUND FLOOR,   WARD NO - 42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001",95.09,pin_700001,28,28,True
22820037000022,22822037000349,"28 ARMAENIAN STREET SHOP NO -06 GROUND FLOOR WARD NO -42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001","28, ARMENIAN STREET, GROUND FLOOR, KMC WARD NO. - 42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001",90.62,pin_700001,28,28,True
22820037000073,22820037000088,"28 ARMENIAN STREET WARD NO -42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001","28 ARMENIAN STREET GROUND FLOOR WARD NO -42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001",94.12,pin_700001,28,28,True
22820037000073,22822037000102,"28 ARMENIAN STREET WARD NO -42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001","28, ARMENIAN STREET, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700001",92.39,pin_700001,28,28,True
