fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence,locality_match
22820033000214,22821033000358,"T-110/2B, COSSIPORE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","T-1/1C, DUM DUM ROAD, WARD- 002, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.32,pin_700002,,,False,False
22820033000214,22819033000546,"T-110/2B, COSSIPORE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","T-51C, LOCK GATE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.76,pin_700002,,,False,False
22820033000208,22820033000196,"B/57/7/H/39, BARRACPORE TRUNK ROAD, WARD- 002, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/57/7/H/33, BARRACKPORE TRANK ROAD, KOLKATA - 700002, WARD NO - 2, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",94.2,pin_700002,,,False,False
22820033000097,22821033000877,"B/26A/H/11, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/37A/H/1, COSSIPORE ROAD, WARD- 001, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.91,pin_700002,,,False,False
22820033000097,22821033000048,"B/26A/H/11, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/29/H/20, COSSIPORE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.12,pin_700002,,,False,False
22820033000097,22819033000240,"B/26A/H/11, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","60, B.T ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.0,pin_700002,,60,False,False
22820033000097,22821033000073,"B/26A/H/11, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/29/H/23, COSSIPORE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.12,pin_700002,,,False,False
22820033000196,22821033000092,"B/57/7/H/33, BARRACKPORE TRANK ROAD, KOLKATA - 700002, WARD NO - 2, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/57/7/H/40, BARRACPORE TRUNK ROAD, WARD- 002, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",93.48,pin_700002,,,False,False
22821033000877,22821033000221,"B/37A/H/1, COSSIPORE ROAD, WARD- 001, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/26A/H/41, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.91,pin_700002,,,False,False
22821033000877,22820033000050,"B/37A/H/1, COSSIPORE ROAD, WARD- 001, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/26A/H/49, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.12,pin_700002,,,False,False
22821033000221,22821033000048,"B/26A/H/41, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/29/H/20, COSSIPORE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.12,pin_700002,,,False,False
22821033000221,22819033000240,"B/26A/H/41, DUM DUM ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","60, B.T ROAD, WARD- 004, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.0,pin_700002,,60,False,False
