fbo_id_1,fbo_id_2,house_number_1,house_number_2,similarity_score,raw_address_1,raw_address_2,block_key
22825035000155,22825035000142,163/1A,163/1A,93.04,"163/1A, MANICKTALA MAIN ROAD, MD. ISMAIL MARKET, WARD NO- 31,  STALL NO- F1S- 23/67, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700054","163/1A, MANICKTALA MAIN ROAD, MD. ISMAIL MARKET, WARD NO- 31,  STALL NO- VEG- 12/81, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700054",pin_700054
22822044000666,12822019002718,12/1A/54,12/1A/54,90.04,"12/1A/54 CHOWBHAGA BIDHAN NAGAR ROAD , BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700039","12/1A/54 CHOWBAGA ROAD, BIDHAN NAGAR, WARD NO-107, BR-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700039",pin_700039
22821033000393,22825033000215,110,110,90.41,"110, COSSIPORE ROAD, WARD NO - 6, KOL - 2, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","110, COSSIPORE ROAD, WARD- 006, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",pin_700002
22825041000293,22825041000294,1,1,98.68,"1, TARATALA ROAD, HEMANTA BASU MARKET BRACE BRIDGE, STALL NO-261, WARD NO.80, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700088","1, TARATALA ROAD, HEMANTA BASU MARKET BRACE BRIDGE, STALL NO-315, WARD NO.80, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700088",pin_700088
12820019001507,12824019002301,11/4C,11/4C,91.8,"11/4C, CHRISTOPHER ROAD , KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700046","11/4C, CHRISTOPHER ROAD, WARD NO-58, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700046",pin_700046
22821034000220,22822034000123,18/3A,18/3A,91.26,"18/3A DALIMTOLA LANE, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","18/3A DALIMTOLA LANE, KMC WARD NO - 16, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",pin_700006
22825041000199,22825041000262,1,1,96.0,"1, TARATALA ROAD, HEMANTA BOSE MARKET BRACE BRIDGE, STALL NO-64, WARD NO.80, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700088","1, TARATALA ROAD, HEMANTA BASU MARKET BRACE BRIDGE, STALL NO-62, WARD NO.80, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700088",pin_700088
22822036000226,12822019001483,187,187,95.3,"187,VIVEKANANDA ROAD,MANIKTALA BAZAR,GROUND FLOOR STALL NO-52,KOLKATA 700006,WARD-027,BR-IV, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","187,VIVEKANANDA ROAD,MANIKTALA BAZAR,GROUND FLOOR STALL NO-155,KOLKATA 700006,WARD-027,BR-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",pin_700006
22817019000481,22824037000207,86C,86C,91.45,"86C,ACHARYA PRAFULLA CHANDRA ROAD,WARD-37, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700009","86C ACHARYA PRAFULLA CHANDRA ROAD, WARD NO-36, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700009",pin_700009
22821039000297,12823019000615,28,28,92.86,"28, OLD BALLYGUNGE FIRST LANE, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700019","28, OLD BALLYGUNGE FIRST LANE, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700019",pin_700019
